537, 1043, 4.0, 964982703
642, 3791, 3.5, 964982710
789, 4862, 5.0, 964982720
556, 5930, 4.5, 964982730
612, 5274, 3.0, 964982740
478, 5882, 4.0, 964982750
934, 5210, 2.5, 964982760
523, 4357, 4.5, 964982770
678, 4024, 3.0, 964982780
845, 3156, 4.0, 964982790
501, 1287, 5.0, 964982800
732, 2398, 3.5, 964982810
865, 1743, 4.5, 964982820
940, 1590, 4.0, 964982830
593, 1630, 3.0, 964982840
667, 1729, 4.5, 964982850
715, 1830, 2.0, 964982860
558, 1945, 3.5, 964982870
622, 2056, 4.0, 964982880
810, 2134, 5.0, 964982890
690, 2247, 3.5, 964982900
756, 2389, 4.0, 964982910
820, 2450, 4.5, 964982920
580, 2578, 3.0, 964982930
610, 2684, 4.0, 964982940
695, 2790, 4.5, 964982950
750, 2831, 3.0, 964982960
800, 2967, 5.0, 964982970
630, 3021, 3.5, 964982980
710, 3150, 4.0, 964982990
590, 3278, 4.5, 964983000
680, 3321, 3.0, 964983010
770, 3467, 4.0, 964983020
880, 3589, 4.5, 964983030
540, 3690, 3.0, 964983040
600, 3752, 5.0, 964983050
650, 3876, 4.0, 964983060
720, 3921, 3.5, 964983070
790, 4050, 4.5, 964983080
860, 4189, 4.0, 964983090
830, 4234, 3.0, 964983100
900, 4367, 5.0, 964983110
560, 4450, 4.5, 964983120
615, 4589, 3.0, 964983130
685, 4670, 4.0, 964983140
725, 4782, 4.5, 964983150
740, 4893, 3.0, 964983160
775, 4950, 5.0, 964983170
815, 5012, 4.0, 964983180
850, 1043, 4.5, 964983190
642, 2589, 3.0, 964983200
789, 3791, 4.0, 964983210
556, 4862, 2.5, 964983220
612, 5930, 3.5, 964983230
478, 5274, 4.0, 964983240
934, 5882, 3.0, 964983250
523, 5210, 4.5, 964983260
678, 4357, 3.5, 964983270
845, 4024, 4.0, 964983280
501, 3156, 4.5, 964983290
732, 1287, 3.0, 964983300
865, 2398, 4.0, 964983310
940, 1743, 3.5, 964983320
593, 1590, 4.0, 964983330
667, 1630, 3.5, 964983340
715, 1729, 4.0, 964983350
558, 1830, 4.5, 964983360
622, 1945, 3.5, 964983370
810, 2056, 4.0, 964983380
690, 2134, 4.5, 964983390
756, 2247, 3.5, 964983400
820, 2389, 4.0, 964983410
580, 2450, 3.5, 964983420
610, 2578, 4.0, 964983430
695, 2684, 4.5, 964983440
750, 2790, 3.0, 964983450
800, 2831, 4.0, 964983460
630, 2967, 3.5, 964983470
710, 3021, 4.0, 964983480
590, 3150, 4.5, 964983490
680, 3278, 3.0, 964983500
770, 3321, 4.0, 964983510
880, 3467, 3.5, 964983520
540, 3589, 4.0, 964983530
600, 3690, 4.5, 964983540
650, 3752, 3.0, 964983550
720, 3876, 4.0, 964983560
790, 3921, 3.5, 964983570
860, 4050, 4.0, 964983580
830, 4189, 4.5, 964983590
900, 4234, 3.0, 964983600
560, 4367, 4.0, 964983610
615, 4450, 3.5, 964983620
685, 4589, 4.0, 964983630
725, 4670, 4.5, 964983640
740, 4782, 3.0, 964983650
775, 4893, 4.0, 964983660
815, 4950, 3.5, 964983670
850, 5012, 4.0, 964983680
537, 2589, 4.5, 964983690
